,Review
0,masalah kulitku kerutan
1,tipe kulitku kering
2,masalah kulitku kerutan
3,"bagus banget lip tint nya warnanya jg bagus2, kemasannya gemes banget kecil2 . terimakasih"
4,"expire 2026, pengiriman cepat. cocok asal penggunaan sesuai instruksi."
5,no review found
6,no review found
7,dapet gift setiap pembelianâ¦lucu bgt sukaaaâ¦makasi
8,ringan banget kaya ga pake apa apa terus beneran transferproof ð­ð¤ mana design nya lucu lagiii
9,"tipe kulitku sensitif dan cocok banget pake ini.
gak bikin kering sama sekali"
10,"datang sesuai estimasi pengiriman, packing aman. terima kasih jne dan tokopedia â¤ï¸"
11,"pertama coba nih serum moga cocok, packing aman dan kurir toppp.
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar"
12,suka sama retinolnya somethinc
13,baguuus.. warna pas. coverage ok
14,cocok buatku yg ga pake bedak....awalnya emang ada agak abu gt dikulit tp kalo sdh meresap goooodddd
15,diamond nak bgt dipake. lemonade ku baru mau coba. smga cocok
16,enak.banget aplikatornyaaa
17,"fast response, on time delivery"
18,"fast response, on time delivery"
19,"fast response, on time delivery"
20,baru sekali ini mau coba. semoga cocok. tqpi klo serum lainnya udah kesekian kali pake dan cocok cocok aja di kulit.
21,"ini pembelian ke dua serum diamond ini.
sejauh ini cocok di kulit. belum ada perubahan yang signifikan. tapi karena di kulit enak, jadi beli lagi ...."
22,"cocok pake pelembab ini. selalu dipake siang dan malem.
lebih suka packaging yang 25ml karena bisa ke kontrol pemakaiannya dan gak kebanyakan nempel ke muka."
23,"baru nyoba sekali ini.
semoga cocok. tapi klo produk skin care lainnya udah bbrp kali coba dan cocok di kulit."
24,bagus bikin bulu mata lentik dan awet
25,"first nyoba moist ini, semoga cocok. makasih min dikasih bonus lucuu. sukses selalu"
26,best matte lipstick. repeat order kesekian kalinya tak terhitung. lipstick favourite.
27,no review found
28,tipe kulitku normal masalah kulitku kerutan
29,alhamdulillah dapet diskonan. terima kasih kak
30,"wanginya soft, pembelian pertama"
31,"agak encer, dicoba dulu ya thx"
32,no review found
33,tipe kulitku sensitif tipe kulitku kering
34,tipe kulitku sensitif
35,no review found
36,tipe kulitku berminyak masalah kulitku jerawat
37,ori
38,paket diterima dg baik dan pengiriman cepat banget. packagingnya bagus banget aman jg. produk cocok dg kulit istri saya. senang banget dia. thanks
39,"tipe kulitku berminyak 
pengiriman cepat produk baik sesuai deskripsi. makasih seller"
40,"barang sudah sampai dan sesuai, semoga cocok di akuu, thanks sellerrr tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar"
41,tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku kerutan
42,"seneng banget dapet harga promo ð­ terus padahal ditulisannya gak ada bonus gift, dikasih gift eyelashes curler dong, huhu thank you somethinc ð"
43,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif
44,terima kasih ðð
45,terima kasih ðð
46,perfect shade!
47,"terbaik, favorite ð"
48,"bagus banget, baru seminggu pakai bacne ku mulai hilang. ada purgingnya dia kek bikin bacne mateng dulu gitu abis itu baru ilang, tapi dikit banget isinya baru seminggu habis mungkin karena pakenya terlalu banyak kali ya ð­"
49,nice
50,"tipe kulitku kombinasi

biasanya beli jar baru. baru nyobain ver refilnya
aku cocok bgt. dulu kulitku pernah kering sampe luka yg jadi hitam ketarik kulitnya, pake ini seminggu bener2 sembuh dan bekasnya pudar."
51,no review found
52,no review found
53,seneng banget dapet harga 111rb ð¤
54,no review found
55,"tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif, cocok dengan cleansing dari somethinc.. keren.. tq"
56,tipe kulitku berminyak
57,barang sampai dengan selamat. tapi udah 3x beli disini gak pernah dapet bonus. jadi yg pada dapet bonus tu bener gak ya...
58,tipe kulitku normal
59,udah cocok..bagus di muka..ngurangin garis halus n kerut
60,mantap...... dpt harga diskon. mkasih ya min
61,tipe kulitku normal tipe kulitku sensitif
62,semoga cocok
63,"pengiriman cepet, bagusss. next order lagiiiii"
64,tipe kulitku normal
65,masalah kulitku jerawat tipe kulitku sensitif. cocok banget
66,no review found
67,pesanan yg datang sesuai dan tidak bocor.
68,pesanan yg datang sesuai dan tidak bocor.
69,pesanan yg datang sesuai dan tidak bocor.
70,pesanan yg datang sesuai dan tidak bocor.
71,recomended. thx. :)
72,"bagus bgt weh sat set tiap pagi, buat aku yang super keringetan ini masih awet sampe malem. ada transfer cuma ga heboh"
73,barang bagus pastinya original
74,masalah kulitku kerutan tipe kulitku sensitif tipe kulitku kombinasi
75,goooooooddd
76,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak
77,cakepppp
78,"sudah sampai, semoga ada hasil.."
79,tahan lama teksturnya cair mudah meresap
80,cocok ini favorite selalu gunakan inii
